Start Date,End Date,Seminar,Instructor,Location,Link,Status,Group Month,Notes,Sort Order,Source
2026-09-29,2026-10-01,Lisa Tomoleoni Shihan at Rocky Mountain Aikikai,,"Centennial, CO, USA",https://rocky-mountain-aikikai.com/,Confirmed,,Combined from the Sep 29-30 and Oct 1 entries on the current list.,50,https://www.aikidoshimbokukai.org/events
2026-10-02,2026-10-04,Hiroshi Ikeda Shihan in Germany,Hiroshi Ikeda Shihan,GERMANY,,Confirmed,,No event link is provided on the current list.,10,https://www.aikidoshimbokukai.org/events
2026-10-02,2026-10-04,Lisa Tomoleoni Shihan at Aiki Budo of Denver,,"Denver, CO, USA",https://www.aikibudoofdenver.com/,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-10-09,2026-10-11,Lisa Tomoleoni Shihan at Chishin Dojo,,"Coventry, UK",https://www.chishindojo.co.uk/,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-10-23,2026-10-25,Hiroshi Ikeda Shihan and Others at 17th Aikido World Seminar,Hiroshi Ikeda Shihan,"Kumamoto, JAPAN",https://www.aikido-aishinkan-kumamoto.com/cont4/main.html,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-10-28,2026-10-28,Hiroshi Ikeda Shihan at Oufukan Dojo — Special One-Night Seminar — Limited capacity — advance registration required,Hiroshi Ikeda Shihan,"Kyoto, JAPAN",https://www.aishinkankyoto.jp/english-page/,Confirmed,,,,
2026-10-30,2026-11-01,Hiroshi Ikeda Shihan and Others at Kyoto International Aikido Friendship Seminar,Hiroshi Ikeda Shihan,"Kyoto, JAPAN",https://aikijuku.com/kyoto-seminar-2026/,Confirmed,,The current list gives the date as TBC.,10,https://www.aikidoshimbokukai.org/events
2026-11-06,2026-11-08,Lisa Tomoleoni Shihan at Tampa Aikido/American Butokukan,,"Tampa, FL, USA",https://www.butokukan.com/,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
2026-11-13,2026-11-15,Hiroshi Ikeda Shihan at Shindai Aikido,Hiroshi Ikeda Shihan,"Orlando, FL, USA",https://shindai.com/events/,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-11-13,2026-11-15,"Lisa Tomoleoni Shihan and Others at Hombu Reunion Seminar, Burloak Aikikai",,"Burlington, Ontario, CANADA",https://www.burloak-aikido.ca/,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-11-21,2026-11-21,"""Two Views"" Meido Moore Shihan, Lisa Tomoleoni Shihan at Daiyuzenji",,"Chicago, IL, USA",https://www.aikidoshimbokukai.org/events-master/2026-moore-tomoleoni,Confirmed,,,50,https://www.aikidoshimbokukai.org/events
2026-12-06,2026-12-06,"""Two Views"" Lisa Tomoleoni Shihan, Dianne Costanzo Shihan at Tokushinkan Dojo",,"Lake Geneva, WI, USA",,Confirmed,,"The current list contains a link, but its destination could not be resolved during import.",10,https://www.aikidoshimbokukai.org/events
2026-12-11,2026-12-13,Hiroshi Ikeda Shihan at Aikido Dojo Luisantais,Hiroshi Ikeda Shihan,FRANCE,,Confirmed,,No event link is provided on the current list.,20,https://www.aikidoshimbokukai.org/events
2026-12-13,2026-12-13,Lisa Tomoleoni Shihan at Milwaukee Aikido Club,,"Milwaukee, WI, USA",https://www.milwaukeeaikido.org/,Confirmed,,,30,https://www.aikidoshimbokukai.org/events
2026-12-18,2026-12-20,Hiroshi Ikeda Shihan at Arizona Aikido,Hiroshi Ikeda Shihan,"Mesa, AZ, USA",https://azaikido.org/index.html,Confirmed,,,40,https://www.aikidoshimbokukai.org/events
2026-12-18,2026-12-18,Lisa Tomoleoni Shihan at Kogyo Aikido,,"Montgomery, TX, USA",,Confirmed,,"The current list contains a Facebook link, but its destination could not be resolved during import.",50,https://www.aikidoshimbokukai.org/events
2026-12-19,2026-12-20,Lisa Tomoleoni Shihan at Aikido Shinjinkan Dojo,,"Spring, TX, USA",https://the-matcenter.com/,Confirmed,,,60,https://www.aikidoshimbokukai.org/events
2027-03-12,2027-03-14,"Hiroshi Ikeda Shihan, Meido Moore Shihan, Lisa Tomoleoni Shihan, and others at Midwest Aikido Bridge Seminar",Hiroshi Ikeda Shihan,"Milwaukee, WI, USA (+VIRTUAL)",https://www.aikidoshimbokukai.org/events,Confirmed,,,20,https://www.aikidoshimbokukai.org/events
